na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Peshawar I,,Syed Zafar Ali Shah,PPP,40343,Haji Ghulam Ahmad Balour,ANP,35755,,,
NA-2,Peshawar II,,Arbab Muhammad Jehangir Khan,PPP,27345,Abdul Rehman Khan,ANP,20804,,,
NA-3,Peshawar III,,Arbab Muhammad Zahir,ANP,36134,Sardar Ali,PPP,30576,,,
NA-4,Nowshera,,Major General (R) Naseerullah Khan Babar,PPP,36116,Muhammad Ajmal Khan Khattak,ANP,30020,,,
NA-5,Charsadda,,Asfandyar Wali Khan,ANP,56164,Major (R) Mukhtar Ahmad Khan,PPP,55055,,,
NA-6,Mardan I,,Khanzada Khan,PPP,38525,Muhammad Saneer Khan,ANP,24881,,,
NA-7,Mardan II,,Haji Muhammad Yaqoob Khan,PPP,33119,Muhammad Azam Khan Hoti,ANP,32709,,,
NA-8,Swabi,,Qazi Maulana Faizullah,IJM,55055,Haji Rehmatullah,ANP,49349,,,
NA-9,Kohat,,Syed Iftikhar Hussain Gillani,PML-N,31863,Javed Ibrahim Paracha,Independent,27613,,,
NA-10,Karak,,Maulana Shaheed Ahmad,MDM,24519,Muhammad Aslam Khan Khattak,PML-N,19314,,,
NA-11,Abbottabad I,,Sardar Mehtab Ahmad Khan Abbasi,PML-N,63278,Amanullah Khan Jadoon,PML-J,40072,,,
NA-12,Abbottabad II,,Mian Muhammad Nawaz Sharif,PML-N,73509,Sardar Haidar Zaman Khan,PML-J,28242,,,
NA-13,Abbottabad III Complete,,Gohar Ayub Khan,PML-N,69386,Abdul Haq,PIF,26859,,,
NA-14,Mansehra Complete,,Sardar Muhammad Yousaf,PML-N,58191,Syed Qasim Shah,PML-J,34917,,,
NA-15,Mansehra II,,Nawabzada Salah-ud-din Saeed Khan,PML-N,22882,Zargul,Independent,18479,,,
NA-16,Mansehra,,Haji Muhammad Ayub Khan,PML-N,14226,Alam Zeb Khan,IJM,12461,,,
NA-17,Kohistan,,Malik Said Ahmad,Independent,5997,Malik Aurang Zeb,PML-N,5776,,,
NA-18,D.I Khan,,Moualna Fazal-ur-Rehman,IJM,59233,Alhaj Umar Farooq Khan Miankhel,PML-N,54272,,,
NA-19,Bannu I,,Syed Abbas Shah,PML-N,23615,Moulvi Ali Akbar,IJM,20890,,,
NA-20,Bannu II,,Muhammad Kabir Khan,PML-N,35033,Ameer Nawaz Advocate,IJM,34771,,,
NA-21,Swat I,,Mian Gul Aurungzaib,PML-N,32533,Ubaidur Rehman,IJM,25616,,,
NA-22,Swat II,,Muhammad Afzal Khan,PKQP,41168,Shujat Ali Khan,PML-N,32284,,,
NA-23,Swat 3,,Abdul Mateen Khan,ANP,22151,Haji Fazal Khaliq,PIF,16312,,,
NA-24,Chitral,,Moulana Abdur Raheem,PIF,16275,Zauja Muhammad Suleman Khan,PPP,15765,,,
NA-25,Dir,,Sahibzada Fathullah,PIF,38687,Najmud Din,PPP,30586,,,
NA-26,Malakand,,Muzaffar Khan,PPP,40048,Maulana Gauhar Rehman Khan,PIF,35879,,,
NA-27,Tribal Area,,Haji Baroz,Independent,1786,Abdur Rehman Khan,Independent,604,,,
NA-28,Tribal Area,,Zulfiqar Ali,Independent,717,Haji Kamal Hussain,Independent,512,,,
NA-29,Tribal Area III,,Muhammad Afzal,Independent,2425,Alhaj Ghazi Said Jamal,Independent,1888,,,
NA-30,Tribal Area IV  1993,,Arsala Khan,Independent,585,Muhammad Ajmal Khan,Independent,466,,,
NA-31,Tribal Area Full,,Abdul Qayyum Khan,Independent,677,Moulvi Muhammad Saleh Shah,Independent,344,,,
NA-32,Tribal Area,,Bismillah Khan,Independent,1467,Molvi Muhammad Sharif,Independent,947,,,
NA-33,Tribal Area,,Haji Muhammad Shah,Independent,1215,Haji Taj Muhammad,Independent,695,,,
NA-34,Tribal Area,,Malik Muhammad Aslam Khan,Independent,713,Akbar Khan,Independent,329,,,
