na,candidate_name,party,votes,rank
NA-1,Syed Zafar Ali Shah,PPP,40343,1
NA-1,Haji Ghulam Ahmad Balour,ANP,35755,2
NA-1,Haji Dost Muhammad,PIF,9725,3
NA-1,Ghulam Jaaffar,Independent,1943,4
NA-1,Zahoor Khan,Independent,834,5
NA-1,Muhammad Rafiq,Independent,447,6
NA-1,Syed Javed Hasan Shah,Independent,408,7
NA-1,Rifatullah,Independent,360,8
NA-1,Zakira Aslam,HPG,91,9
NA-2,Arbab Muhammad Jehangir Khan,PPP,27345,1
NA-2,Abdul Rehman Khan,ANP,20804,2
NA-2,Muhammad Azam Khan Chishti,PIF,12486,3
NA-2,Arbab Muhammad Humayun,PKMAP,1173,4
NA-2,Murslim Khan Advocate,Independent,912,5
NA-2,Arbad Mushtaq Ahmad,HPG,218,6
NA-3,Arbab Muhammad Zahir,ANP,36134,1
NA-3,Sardar Ali,PPP,30576,2
NA-3,Abdul Haseeb Advocate,PIF,13005,3
NA-4,Major General (R) Naseerullah Khan Babar,PPP,36116,1
NA-4,Muhammad Ajmal Khan Khattak,ANP,30020,2
NA-4,Mirajuddin,PIF,15896,3
NA-4,Mian Muzaffar Shah,Independent,548,4
NA-5,Asfandyar Wali Khan,ANP,56164,1
NA-5,Major (R) Mukhtar Ahmad Khan,PPP,55055,2
NA-5,Ihsanullah Khan,Independent,10136,3
NA-6,Khanzada Khan,PPP,38525,1
NA-6,Muhammad Saneer Khan,ANP,24881,2
NA-6,Doctor Farooq,PIF,18094,3
NA-7,Haji Muhammad Yaqoob Khan,PPP,33119,1
NA-7,Muhammad Azam Khan Hoti,ANP,32709,2
NA-7,Maulana Gohar Rehman,PIF,18767,3
NA-8,Qazi Maulana Faizullah,IJM,55055,1
NA-8,Haji Rehmatullah,ANP,49349,2
NA-8,Sar Zamin Khan,Independent,2658,3
NA-8,Barrister Muhammad Ayub Khan,PKMAP,1559,4
NA-9,Syed Iftikhar Hussain Gillani,PML-N,31863,1
NA-9,Javed Ibrahim Paracha,Independent,27613,2
NA-9,Barrister Masood Kausar,PPP,16209,3
NA-9,Anwar Ali Akhundzada,Independent,12167,4
NA-9,Maulana Aziz ur Rehman,MDM,4611,5
NA-9,Muhammad Ishaq,Independent,428,6
NA-9,Haji ur Rehmand Bangash,Independent,368,7
NA-10,Maulana Shaheed Ahmad,MDM,24519,1
NA-10,Muhammad Aslam Khan Khattak,PML-N,19314,2
NA-10,Afrasiab Khattak,PKQP,12976,3
NA-10,Umar Hayyat Khattak,Independent,1422,4
NA-10,Jehan Nabi Khattak,Independent,564,5
NA-10,Haji Adam Kahn,Independent,347,6
NA-10,Gul Shahzad Khattak,Independent,229,7
NA-11,Sardar Mehtab Ahmad Khan Abbasi,PML-N,63278,1
NA-11,Amanullah Khan Jadoon,PML-J,40072,2
NA-11,Jamal Khan Abbasi,PIF,5399,3
NA-12,Mian Muhammad Nawaz Sharif,PML-N,73509,1
NA-12,Sardar Haidar Zaman Khan,PML-J,28242,2
NA-12,Colonel (R) Abdul Razzaq Khan Abbasi,HF,737,3
NA-13,Gohar Ayub Khan,PML-N,69386,1
NA-13,Abdul Haq,PIF,26859,2
NA-14,Sardar Muhammad Yousaf,PML-N,58191,1
NA-14,Syed Qasim Shah,PML-J,34917,2
NA-15,Nawabzada Salah-ud-din Saeed Khan,PML-N,22882,1
NA-15,Zargul,Independent,18479,2
NA-15,Shaukat Ali Khan,Independent,7709,3
NA-15,Mukhtasar Khan,Independent,3406,4
NA-15,Attaullah,Independent,900,5
NA-16,Haji Muhammad Ayub Khan,PML-N,14226,1
NA-16,Alam Zeb Khan,IJM,12461,2
NA-16,Sardar Malik Jan,MDM,8052,3
NA-16,Alhaj Rab Nawaz Khan Advocate,Independent,444,4
NA-16,Abdullah Jan,Independent,252,5
NA-17,Malik Said Ahmad,Independent,5997,1
NA-17,Malik Aurang Zeb,PML-N,5776,2
