na,candidate_name,party,votes,rank
NA-265,Moulana Fazal ur Rehman,JUI-F,52436,1
NA-265,Khushal Khan Kakar,PNAP,31438,2
NA-265,Syed Zahoor Ahmad Agha,Independent,21573,3
NA-265,Abdur Rauf,Independent,7508,4
NA-265,Asfand Yar Khan Kakar,Independent,4036,5
NA-265,Abdul Rasheed Nasir,ANP,2513,6
NA-265,Samina Saeed,JIP,776,7
NA-265,Muhammad Bilal Khan,Independent,550,8
NA-265,Saad Ullah Tareen,PML-N,518,9
NA-265,Syed Sana Ullah,Independent,486,10
NA-265,Khair Muhammad Khan Tareen,PPP,441,11
NA-265,Taimoor Shah Jalalzai,Independent,437,12
NA-265,Syed Kaleem Ullah,PRP,305,13
NA-265,Ahmad Yar Khan Kakar,Independent,305,14
NA-265,Najeeb Ullah,Independent,250,15
NA-265,Muhammad Salman,Independent,250,16
NA-265,Naqeeb Ullah,MOTP,134,17
NA-265,Muhammad Anwar,JUI-N,102,18
NA-265,Niamat Ullah Khan,Independent,100,19
NA-265,Syed Abdul Karim,BAP,91,20
NA-265,Moheb Ullah,RJUI,67,21
NA-265,Dolat Shah,Independent,40,22
NA-265,Masood Ahmad,MJAH,22,23
