na,candidate_name,party,votes,rank
NA-69,Nasir Iqbal Bosal,PML-N,113506,1
NA-69,Kousar Parveen Bhatti,Independent,108900,2
NA-69,Nazar Muhammad Gondal,Independent,28114,3
NA-69,Shahzad Ullah Chahttha,TLP,13132,4
NA-69,Ch. Ghulam Hussain Bosal,Independent,6803,5
NA-69,Fakhar Umar Hayat,PPP,6629,6
NA-69,Faisal Shahzad,Independent,2747,7
NA-69,Saleh Muhammad Ranjha,JIP,2743,8
NA-69,Nasar Ullah Khan,TLI,985,9
NA-69,Sajid Ahmad Khan,Independent,890,10
NA-69,Abdul Khaliq,PMML,766,11
NA-69,Munir Shah,ANP,548,12
NA-69,Sheraz Ahmad Ranjha,Independent,425,13
NA-69,Gulraiz Ahmad,Independent,386,14
NA-69,Qaisara Elahi,Independent,351,15
NA-69,Ch. Akhtar Abbas Bosal,Independent,308,16
NA-69,Zobia Ijaz,Independent,138,17
NA-69,Ch. Haroon Nawaz,Independent,106,18
NA-69,Faisal Mukhtar Gondal,Independent,90,19
NA-69,Hassan Nawaz Gondal,Independent,56,20
