na,candidate_name,party,votes,rank
NA-39,Nasim Ali Shah,Independent,146667,1
NA-39,Zahid Akram Durrani,JUI-F,111293,2
NA-39,Muhammad Ibrahim Khan,JIP,5097,3
NA-39,Imtiaz Khan,Independent,3618,4
NA-39,Syed Qaiser Abbas Shah,PTI-P,2785,5
NA-39,Farzana Sherin,PPP,1488,6
NA-39,Inam Ullah Khan,Independent,1241,7
NA-39,Ghani Ur Rehman,PML-N,1107,8
NA-39,Sikandar Hayat,Independent,1107,9
NA-39,Mati Ullah Khan,Independent,1086,10
NA-39,Baseer Ali Shah,Independent,862,11
NA-39,Asfand Yar Khan,Independent,790,12
NA-39,Sami Ullah Khan,Independent,479,13
NA-39,Muhammad Israr Khan,Independent,215,14
NA-39,Muhammad Asghar Khan,Independent,128,15
NA-39,Muhammad Isar Ali,Independent,121,16
NA-39,Farid Ullah Khan,Independent,114,17
NA-39,Islam Noor,RJUI,103,18
NA-39,Muhammad Usman Ali Khan,Independent,54,19
