na,candidate_name,party,votes,rank
NA-108,Sahibzada Muhammad Mehboob Sultan,Independent,169676,1
NA-108,Makhdoom Syed Faisal Saleh Hayat,PML-N,134369,2
NA-108,Ghulam Bibi Bharwana,Independent,7317,3
NA-108,Muhammad Ramzan Awan,TLP,5920,4
NA-108,Malik Asif Tanveer,Independent,3967,5
NA-108,Pir Muhammad Haider Shah,PPP,3651,6
NA-108,Maulana Muhammad Riaz Khan,JUI-F,3453,7
NA-108,Qari Muhammad Nasrullah Jabwana,PMML,2076,8
NA-108,Mian Muazzam Akram Azam Chela Sial,Independent,1376,9
NA-108,Naveed Mukhtar Ahmed Khan,Independent,735,10
NA-108,Hafiz Allah Ditta,PNP,591,11
NA-108,Syed Haider Ali Shah Bukhari,Independent,409,12
NA-108,Sahibzada Naeem Uddin Sialvi,Independent,396,13
NA-108,Sheikh Muhammad Akram,Independent,349,14
NA-108,Muhammad Saleem Tahir,Independent,313,15
NA-108,Saleem Abbas Khan,Independent,225,16
NA-108,Ijaz Ahmad,JWP,144,17
