na,candidate_name,party,votes,rank
NA-213,Nawab Muhammad Yousif Talpur,PPP,179188,1
NA-213,Mir Amanullah Khan Talpur,PML-N,44961,2
NA-213,Lal Chand,Independent,38648,3
NA-213,Malik Kamran Rasheed,TLP,5997,4
NA-213,Haji Baqa Palli,Independent,4209,5
NA-213,Akbar Ali,Independent,3215,6
NA-213,Prem Chand,MQM,1542,7
NA-213,Muhammad Ejaz,JIP,1230,8
NA-213,Lekhraj Mal,Independent,1225,9
NA-213,Mir Ghazanfar Ali Talpur,Independent,1058,10
NA-213,Dr. Farzana,Independent,628,11
NA-213,Syed Hassan Raza Shah Jaffri,Independent,622,12
NA-213,Tirath Meghwar,Independent,589,13
NA-213,Muhammad Jam,Independent,528,14
NA-213,Syed Noor Ali Shah,Independent,449,15
NA-213,Bhamar Lal,Independent,446,16
NA-213,Muhammad Taimur Talpur,Independent,335,17
NA-213,Fakir Ghulam Nabi Mangrio,Independent,248,18
NA-213,Bilal Ur Rehman,Independent,111,19
