na,candidate_name,party,votes,rank
NA-124,Rana Mubashir Iqbal,PML-N,55391,1
NA-124,Rana Zameer Ahmad Jedhu,Independent,43603,2
NA-124,Irfan Ali Bhatti,TLP,18101,3
NA-124,Muhammad Javed Kasuri,JIP,2534,4
NA-124,Azeem Ullah Khan,Independent,1546,5
NA-124,Muhammad Amin,PMML,1265,6
NA-124,Rizwan Zia Khan,Independent,918,7
NA-124,Muhammad Nouman Faiz,Independent,456,8
NA-124,Muhammad Muzzamil,Independent,381,9
NA-124,Muhammad Sajjad Hassan,Independent,287,10
NA-124,Mujahid Mahmood,PAT,249,11
NA-124,Muhammad Saeed Ahmad,Independent,142,12
NA-124,Muhammad Nawaz Awan,Independent,131,13
