na,candidate_name,party,votes,rank
NA-79,Ch. Zulfiqar Ali Bhindar,PML-N,95604,1
NA-79,Ehsan Ullah Virk,Independent,92581,2
NA-79,Sheikh Muhammad Habib Hanif,TLP,24491,3
NA-79,Rana Sajid Ali Shaukat,Independent,23250,4
NA-79,Rana Nazir Ahmad Khan,IPP,16796,5
NA-79,Chahudary Zulfiqar Ali Aulakh,PMML,5603,6
NA-79,Ghulam Dastagir,Independent,3325,7
NA-79,Ahmed Sher Ali Aulakh,Independent,2581,8
NA-79,Lala Malik Muhammad Shakeel ur Rehman,PPP,2544,9
NA-79,Chaudhary Abdul Hameed Goraya,JIP,1696,10
NA-79,Rana Amir Nazeer Ahmed,Independent,1352,11
NA-79,Choudary Zaffar Ullah Cheema,Independent,1107,12
NA-79,Saeed Yousuf Bhindar,Independent,841,13
NA-79,Akhtar Ali,Independent,731,14
NA-79,Rana Umer Nazir Khan,Independent,633,15
NA-79,Chaudhry Ali Wakeel Khan,Independent,618,16
NA-79,Syed Munir ud Din Qadari,PAT,600,17
NA-79,Ali Raza Buttar,Independent,529,18
NA-79,Muhammad Ilyas,Independent,423,19
NA-79,Dr Suhail Zafar Cheema,Independent,400,20
NA-79,Rizwan Zafar Cheema,Independent,280,21
NA-79,Abdul Qadir Gill,Independent,222,22
NA-79,Majid Ali,Independent,136,23
NA-79,Asim Abdullah Virk,Independent,112,24
NA-79,Salman Nasir,Independent,100,25
NA-79,Allah Yar Sindhu,Independent,97,26
NA-79,Muhammad Riaz Khan,Independent,92,27
NA-79,Tayyaba sohail Cheema,Independent,71,28
NA-79,Wajid Ali,Independent,49,29
