na,candidate_name,party,votes,rank
NA-93,Mehar Ghulam Muhammad Lali,Independent,94406,1
NA-93,Malik Ghulam Abbas Niswana,Independent,59909,2
NA-93,Ghulam Bibi Bharwana,Independent,42432,3
NA-93,Syed Muhammad Raza Bukhari,PML-N,13485,4
NA-93,Muhammad Sarfraz,TLP,6561,5
NA-93,Allah Yar Supra,PPP,4333,6
NA-93,Syed Zahid Hussain,Independent,3909,7
NA-93,Zulfiqar Ali Shah,JIP,1008,8
NA-93,Jahanzaib Zahid,PMML,782,9
NA-93,Waqas Ahmad,BPP,661,10
NA-93,Ijaz Hussain,NP,412,11
NA-93,Muhammad Ameer Ali Lali,Independent,386,12
NA-93,Muhammad Ahsan Lali,Independent,280,13
NA-93,Syed Babar Ali,Independent,244,14
