na,candidate_name,party,votes,rank
NA-254,Khalid Hussain Magsi,BAP,79304,1
NA-254,Meer Nizam ud Din Lehri,JUI-F,44814,2
NA-254,Sardar Yar Muhammad Rind,Independent,4540,3
NA-254,Mir Ghulam Fareed Raisani,PPP,3129,4
NA-254,Yasmeen Bibi Lehri,NP,3090,5
NA-254,Allama Wahid Bakhsh Jalali,TLP,2919,6
NA-254,Mir Muhammad Faiq Abro,JQM,2040,7
NA-254,Pir Bakhsh Jamote,Independent,1716,8
NA-254,Meer Moula Dad Raija,Independent,504,9
NA-254,Khuda Bukhsh,BNP,409,10
NA-254,Muhammad Ibrahim,JIP,322,11
NA-254,Syed Asghar Ali Shah,MQM-P,322,12
NA-254,Sajid Ali,BNP-A,276,13
NA-254,Muhammad Rafique,Independent,273,14
NA-254,Syed Akbar Shah,Independent,241,15
NA-254,Mir Humayun Aziz Kurd,Independent,187,16
NA-254,Siraj Ali,Independent,153,17
NA-254,Muhammad Momin Kurd,Independent,125,18
NA-254,Ghulam Farooq,Independent,101,19
NA-254,Mir Farooq Aziz,Independent,81,20
NA-254,Mir Hakim Miran,Independent,74,21
NA-254,Muhammad Iqbal,Independent,61,22
NA-254,Mir Sardar Khan Rind,Independent,60,23
NA-254,Mir Beer Burg,Independent,55,24
NA-254,Meer Khan,Independent,53,25
NA-254,Mir Ghulam Jan,Independent,47,26
NA-254,Mir Raza Ali Khan Umrani,Independent,34,27
