na,candidate_name,party,votes,rank
NA-228,Rafiq Ahmad Jamali,PPP,98873,1
NA-228,Karim Ali Jatoi,GDA,49302,2
NA-228,Rashid Ali,TLP,6692,3
NA-228,Gaji Khan Leghari,Independent,3989,4
NA-228,Zulfiqar Ali Mallah,Independent,3405,5
NA-228,Abu Bakar Brohi,JUI-F,1774,6
NA-228,Khalil Ahmad Qurashi,Independent,1735,7
NA-228,Syed Ameer Ahmad Bukhari,Independent,1018,8
NA-228,Afzal Khan,Independent,873,9
NA-228,Zafar Ali,JIP,697,10
NA-228,Muhammad Imran Khan,Independent,403,11
NA-228,Abdul Majeed Chahwan,MQM,374,12
NA-228,Saeed Ahmed Jamali,Independent,278,13
NA-228,Syed Zafar Ali Shah,Independent,184,14
NA-228,Mir Shujaullah Panhwar,Independent,136,15
