na,candidate_name,party,votes,rank
NA-74,Muhammad Aslam Ghuman,Independent,130606,1
NA-74,Rana Shameem Ahmad Khan,PML-N,96018,2
NA-74,Sajjad Hussain Shah,TLP,25480,3
NA-74,Zafar Iqbal,PMML,2921,4
NA-74,Qamar Zamaan Cheema,JIP,2847,5
NA-74,Choudhry Ijaz Ahmed Cheema,PPP,2797,6
NA-74,Fayyaz Iqbal Cheema,Independent,2649,7
NA-74,Muhammad Saleem Akhtar,Independent,1171,8
NA-74,Mahrukh Mirza,MQM,872,9
NA-74,Chaudhry Azeem Ghuman,Independent,566,10
NA-74,Zulfiqar Aslam Cheema,Independent,504,11
NA-74,Zubair Aslam,Independent,331,12
NA-74,Fakhar Nishat Ghuman,Independent,321,13
NA-74,Idrees Ahmad Cheema,Independent,178,14
NA-74,Choudhary Bilal Hussain Gondal,Independent,170,15
NA-74,Bilal Hussain,Independent,94,16
NA-74,Ammad Aslam,Independent,92,17
NA-74,Sarfraz Ahmed,Independent,48,18
