na,candidate_name,party,votes,rank
NA-62,Muhammad Ilyas Choudhary,Independent,97436,1
NA-62,Choudhary Abid Raza,PML-N,71154,2
NA-62,Ch. Musa Elahi,PML-Q,26797,3
NA-62,Pir Syed Shamim Raza Shah,TLP,24035,4
NA-62,Muhammad Latif Langrial,JIP,2042,5
NA-62,Muhammad Jamil,Independent,1759,6
NA-62,Kamran Khalid Butt,PRP,1186,7
NA-62,Muhammad Imran Ahsan,Independent,884,8
NA-62,Muhammad Rafiq,Independent,698,9
NA-62,Naveed Akram,PAT,437,10
NA-62,Fahad Ilyas Choudhary,Independent,354,11
NA-62,Manazar Hussain,Independent,273,12
NA-62,Syed Mubashir Hussian Shah,Independent,254,13
NA-62,Javed Iqbal,Independent,245,14
NA-62,Nouman Ashraf Choudhry,Independent,232,15
NA-62,Amjad Hussain Shah,Independent,232,16
NA-62,Makhdoom Muhammad Ehsan,APP,227,17
NA-62,Muhammad Adil Fiaz,Independent,158,18
NA-62,Muhammad Fayyaz,Independent,144,19
NA-62,Muhammad Ali Sajid Chatha,Independent,82,20
NA-62,Muhammad Ghazanfar Iqbal,Independent,45,21
NA-62,Asfand Yar Ali,Independent,36,22
NA-62,Nasir Ahmed,Independent,35,23
NA-62,Waqar Munir,Independent,31,24
NA-62,Amir Rafiq,Independent,17,25
NA-62,Shamoona Abbas,Independent,12,26
