year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1977,NA-1,Peshawar,Khyber Pakhtunkhwa,Muhammad Yousaf Khattak,PML-Q,44905,55.9,,,13.5,3
1977,NA-2,Peshawar,Khyber Pakhtunkhwa,Arbab Muhammad Jahangir Khan,PPP,32399,49.1,,,3.2,5
1977,NA-3,Peshawar,Khyber Pakhtunkhwa,Aftab Ahmad Khan Sherpao,PPP,41227,54.1,,,11.6,3
1977,NA-4,Peshawar,Khyber Pakhtunkhwa,Begum Naseem Wali Khan,PNA,48653,62.3,,,28.9,4
1977,NA-5,Peshawar,Khyber Pakhtunkhwa,Moulana Abdul Haq,PNA,49024,59.5,,,18.9,2
1977,NA-6,Mardan,Khyber Pakhtunkhwa,Khan Meer Afzal Khan,PPP,42042,56.4,,,15.4,3
1977,NA-7,Mardan,Khyber Pakhtunkhwa,Muhammad Yousif Khan,PNA,32133,48.6,,,2.0,3
1977,NA-8,Mardan,Khyber Pakhtunkhwa,Begum Nasim Wali Khan,PNA,36585,55.8,,,23.7,3
1977,NA-9,Mardan,Khyber Pakhtunkhwa,Ali Gohar Khan,PNA,33724,56.5,,,26.1,3
1977,NA-10,Kohat,Khyber Pakhtunkhwa,Moulana Habib Gul,PNA,29491,48.6,,,21.7,4
1977,NA-11,Kohat,Khyber Pakhtunkhwa,Molvi Naimat Ullah,PNA,25546,51.8,,,21.4,3
1977,NA-12,Abbottabad,Khyber Pakhtunkhwa,Muhammad Iqbal Khan Jadoon,PPP,32136,43.5,,,7.0,4
1977,NA-13,Abbottabad,Khyber Pakhtunkhwa,Air Marshal (R) Asghar Khan,PNA,35711,51.1,,,26.5,5
1977,NA-14,Abbottabad,Khyber Pakhtunkhwa,Gohar Ayub Khan,PNA,40071,51.3,,,8.9,5
1977,NA-15,Mansehra,Khyber Pakhtunkhwa,Muhammad Hanif Khan,PPP,27589,37.0,,,9.2,5
1977,NA-16,Mansehra,Khyber Pakhtunkhwa,Fakhar uz Zaman Khan,PNA,20459,57.1,,,31.5,9
1977,NA-17,Mansehra Kohistan,Khyber Pakhtunkhwa,Haji Faqir Muhammad Khan,PNA,14190,34.2,,,11.2,8
1977,NA-18,Dera Ismail Khan,Khyber Pakhtunkhwa,Moulana Mufti Mehmood,PNA,65972,51.0,,,2.0,2
1977,NA-19,Bannu,Khyber Pakhtunkhwa,Moulana Sadru Shaheed,PNA,30161,56.8,,,30.8,7
1977,NA-20,Bannu,Khyber Pakhtunkhwa,Ahmed Jan,PNA,33960,48.3,,,13.6,3
1977,NA-21,Swat I,Khyber Pakhtunkhwa,Mian Gul Amirzeb,PPP,23822,41.1,,,5.5,3
1977,NA-22,Swat,Khyber Pakhtunkhwa,Haji Fazal e Raziq,PNA,30140,58.6,,,27.3,4
1977,NA-23,Swat,Khyber Pakhtunkhwa,Fateh Muhammad Khan,PPP,27458,47.3,,,9.2,7
1977,NA-24,Chitral Dir,Khyber Pakhtunkhwa,Muhammad Wali Khan,PPP,21518,41.0,,,6.0,6
1977,NA-25,Malakand Dir,Khyber Pakhtunkhwa,Gauhar Rehman,PNA,31895,49.1,,,11.8,7
1977,NA-26,Dir,Khyber Pakhtunkhwa,Sahibzada Safiullah,PNA,32205,66.3,,,32.5,2
1977,NA-27,Tribal Area,FATA,Baroz,Independent,1921,41.3,,,14.1,6
1977,NA-28,Tribal Area,FATA,Baz   Gull,Independent,675,52.0,,,3.9,2
1977,NA-29,Tribal Area,FATA,Shams ul Haq,Independent,2435,69.7,,,47.0,7
1977,NA-30,Tribal Area,FATA,Sardar   Habibullah Khan,Independent,505,42.3,,,5.4,3
1977,NA-31,Tribal Area,FATA,Said Khan,Independent,451,45.0,,,16.0,3
1977,NA-32,Tribal Area,FATA,Abdul Subhan Khan,PPP,2585,59.1,,,24.3,9
1977,NA-33,Tribal Area,FATA,Haji   Gul Sher,Independent,1116,57.1,,,17.1,4
1977,NA-34,Tribal Area,FATA,Noor   Sher Khan,Independent,792,66.8,,,50.2,3
1977,NA-35,Islamabad,Islamabad Capital Territory,Zahoor   Ahmad,PPP,43794,66.1,,,32.5,3
1977,NA-36,Rawalpindi,Punjab,Colonel (R) Habib Khan,PPP,54923,52.2,,,5.9,4
1977,NA-37,Rawalpindi,Punjab,Raja Abdul Aziz Bhatti,PPP,69542,61.7,,,35.9,3
1977,NA-38,Rawalpindi,Punjab,Syed Ali Asghar Shah,PPP,50634,55.6,,,11.6,3
1977,NA-39,Rawalpindi,Punjab,Nazar   Hussain Kiani,PPP,58065,60.7,,,21.7,3
1977,NA-40,Rawalpindi,Punjab,Abdul Qayyum Butt,PPP,64807,62.8,,,29.8,5
1977,NA-41,Campbellpur,Punjab,Ahmad Waheed Akhtar,PPP,49157,65.3,,,30.6,2
1977,NA-42,Campbellpur,Punjab,Sardar Shaukat Hayat,PPP,89602,80.7,,,61.3,2
1977,NA-43,Campbellpur,Punjab,Pir Syed Safiuddin,PPP,70866,67.8,,,40.3,3
1977,NA-44,Jhelum,Punjab,Doctor Ghulam Hussain,PPP,70728,64.3,,,29.7,4
1977,NA-45,Jhelum,Punjab,Sardar Khizar Hayat Khan,PPP,78536,68.2,,,40.8,3
1977,NA-46,Jhelum,Punjab,Masood -ul-   Hassan Bhatti,PPP,72778,76.1,,,57.2,5
1977,NA-47,Gujrat,Punjab,Zafar   Mahdi,PPP,91531,76.0,,,52.7,4
1977,NA-48,Gujrat,Punjab,Mian   Mushtaq Hussain Pagganwala,PPP,64790,58.9,,,23.0,8
1977,NA-49,Gujrat,Punjab,Atta Elahi Chaudhary,PPP,68008,64.1,,,30.2,4
1977,NA-50,Gujrat,Punjab,Muhammad Sardar Khan,PPP,70003,68.1,,,36.8,3
1977,NA-51,Gujrat,Punjab,Chaudhary Ghulam Rasool,PPP,58247,54.3,,,14.1,6
1977,NA-52,Gujrat,Punjab,Muhammad Gulzar,PPP,57732,62.4,,,33.7,4
1977,NA-53,Sargodha,Punjab,Malik   Nasim Ahmad Aheer,PPP,55433,61.0,,,22.0,2
1977,NA-54,Sargodha,Punjab,Malik   Karam Bux,PPP,58327,66.0,,,42.0,5
1977,NA-55,Sargodha,Punjab,Muhammad Zakir Qureshi,PPP,78431,76.6,,,53.2,2
1977,NA-56,Sargodha,Punjab,Mahar   Khuda Dad Khan,PPP,56418,65.8,,,33.1,4
1977,NA-57,Sargodha,Punjab,Hafeez Ullah,PPP,77471,67.7,,,36.2,3
1977,NA-58,Sargodha,Punjab,Malik Noor Hayat Khan Noon,PPP,61382,65.9,,,33.5,3
