na,candidate_name,party,votes,rank
NA-100,Dr. Nisar Jutt,Independent,131980,1
NA-100,Rana Sana Ullah Khan,PML-N,112651,2
NA-100,Ibrar Hussain,TLP,14747,3
NA-100,Sidra Saeed Bandesha,PPP,7055,4
NA-100,Sameera Nisar,Independent,2424,5
NA-100,Muaz Azeam Randhawa,JIP,2195,6
NA-100,Malik Abdul Rehman,PMML,1803,7
NA-100,Jahanzeb Imtiaz Gill,Independent,1072,8
NA-100,Nabila Sana,Independent,284,9
NA-100,Muqadas Ahsan,Independent,230,10
NA-100,Ch. Ahmed Nawaz,Independent,183,11
NA-100,Ahmad Sheheryar,Independent,171,12
NA-100,Muhammad Maqsood,Independent,151,13
NA-100,Arooj Jahanzeb Gill,Independent,75,14
NA-100,Saif Ur Rahman,Independent,55,15
