na,candidate_name,party,votes,rank
NA-204,Syed Javed Ali Shah,PPP,113022,1
NA-204,Mozzam Ali Khan Abbasi,GDA,87501,2
NA-204,Syed Niaz Hussain Shah Jilani,Independent,3737,3
NA-204,Lal Bux Sial,Independent,609,4
NA-204,Mir Khan Mangnejo,Independent,549,5
NA-204,Mahreen Razzaq Bhutto,Independent,487,6
NA-204,Aijaz Ali Khokhar,PKI,429,7
NA-204,Shafqat Ali Shah,Independent,242,8
NA-204,Syed Muharram Ali Shah,Independent,233,9
NA-204,Asadullah Shaikh,Independent,217,10
NA-204,Ijaz Ahmed,Independent,173,11
NA-204,Syed Fahad Ali Shah Jillani,Independent,153,12
NA-204,Abdullah Phullphoto,Independent,76,13
