na,candidate_name,party,votes,rank
NA-260,Muhammad Usman Badini,JUI-F,42800,1
NA-260,Sardar Fateh Muhammad Mohammad Hassni,PML-N,35629,2
NA-260,Muhammad Hashim Notezai,BNP,27940,3
NA-260,Mir Ejaz Khan Sanjrani,Independent,26926,4
NA-260,Abdul Qadir Baloch,PPP,23869,5
NA-260,Haji Khuda Nazar Samalani,Independent,3430,6
NA-260,Ghulam Qadir Sanjrani,Independent,2342,7
NA-260,Mufti Naimat Ullah Habibi,TLP,2091,8
NA-260,Mir Muhammad Asim Khan Sanjrani,JIP,1053,9
NA-260,Shah Faisal,Independent,630,10
NA-260,Maulana Abdul Qudoos,TLI,591,11
NA-260,Abdul Khalique,NP,519,12
NA-260,Sardar Fateh Muhammad Zehri,Independent,433,13
NA-260,Haji Muhammad Azeem,BNP-A,348,14
NA-260,Abdul Ghafoor,Independent,295,15
NA-260,Muhammad Jan,JUI-N,274,16
NA-260,Pasund Khan,Independent,218,17
NA-260,Sardar Changaz Khan Sasoli,Independent,202,18
NA-260,Hameed Ullah,Independent,168,19
NA-260,Pir Bakhsh,Independent,137,20
NA-260,Aziz Ahmed Mengal,Independent,71,21
NA-260,Mir Muhammad Ishaq,Independent,64,22
NA-260,Shazia Nosherwani,Independent,59,23
NA-260,Liaqat Ali,Independent,54,24
NA-260,Palwasha Ramzan,PKMAP,34,25
