na,candidate_name,party,votes,rank
NA-219,Abdul Aleam Khan,MQM,55050,1
NA-219,Mustansar Billah,Independent,38316,2
NA-219,Ali Muhammad Sahito,PPP,26649,3
NA-219,Muhammad Momin Kanwar,Independent,6373,4
NA-219,Muhammad Irfan Qureshi,TLP,5806,5
NA-219,Meraj Ul Huda Siddiqui,JIP,4675,6
NA-219,Husnain Rashid,PML-N,1576,7
NA-219,Muhammad Rasheed Khan,Independent,700,8
NA-219,Muhammad Abid,PMML,658,9
NA-219,Syed Aftab Ahmad,Independent,498,10
NA-219,Shafiq Ahmad,Independent,469,11
NA-219,Mirza Faheem Baig Mughal,Independent,427,12
NA-219,Sadaf Sheikh,Independent,392,13
NA-219,Shaikh Mian Imran Alvi,Independent,374,14
NA-219,Irfan Gul Magsi,Independent,354,15
NA-219,Tahira,Independent,342,16
NA-219,Jamshed Ali Shaikh,Independent,250,17
NA-219,Hakeem Khan,SKQM,211,18
NA-219,Faisal Mughal,Independent,211,19
NA-219,Mehmood Ahmed Qadri,JUP-N,179,20
NA-219,Tahir Majeed,Independent,160,21
NA-219,Syed Muhammad Ahmad Rasheed,Independent,157,22
NA-219,Mehmood Hussain,Independent,127,23
NA-219,Iqrar Ahmed Khan,Independent,125,24
NA-219,Zuhaib Hussain,Independent,113,25
NA-219,Taimoor Hussain,Independent,108,26
NA-219,Muhammad Rehan,Independent,108,27
NA-219,Abdul Majeed Bhatti,Independent,102,28
NA-219,Ahsan Magsi,Independent,98,29
NA-219,Rasheed Ahmed Khan,Independent,81,30
NA-219,Muhammad Ashraf,PKMAP,66,31
NA-219,Bilal Ahmed Khan,Independent,66,32
NA-219,Atiq Ur Rehman,Independent,63,33
NA-219,Aagha Sadar,Independent,63,34
NA-219,Syed Liaquat Ali Shah,Independent,62,35
NA-219,Syed Sohail Mehmood,Independent,58,36
NA-219,Obaid Ullah Khan,Independent,53,37
NA-219,Muhammad Shoukat,Independent,32,38
