na,candidate_name,party,votes,rank
NA-68,Haji Imtiaz Ahmad Choudhary,Independent,166229,1
NA-68,Mushahid Raza,PML-N,71008,2
NA-68,Asif Bashir,PPP,20394,3
NA-68,Muhammad Akram Tahir,TLP,16561,4
NA-68,Muhammad Riaz Farooq Sahi,JIP,8272,5
NA-68,Sajjad Aslam,Independent,5625,6
NA-68,Rashid Bashir,Independent,2547,7
NA-68,Ch. Asad Ayaz Gondal,Independent,1434,8
NA-68,Mumtaz Ahmed Tarar,Independent,1064,9
NA-68,Hamza Asghar,Independent,972,10
NA-68,Muhammad Akbar,Independent,731,11
NA-68,Muhammad Irfan,PMML,620,12
NA-68,Nasar Ullah Khan,TLI,592,13
NA-68,Ch. Akhtar Mehmood Sahi,Independent,264,14
NA-68,Mukhtar Ahmad,Independent,232,15
NA-68,Tariq Mehmood,Independent,201,16
NA-68,Irfan Siddique,MQM,196,17
NA-68,Ch. Ghulam Hussain Bosal,Independent,186,18
NA-68,Faraz Ahmad Tarar,Independent,181,19
NA-68,Arshad Mahmood,Independent,131,20
NA-68,Afzaal Ahmad Gondal,Independent,125,21
NA-68,Muhammad Zulqarnain,Independent,121,22
NA-68,Zaheer Mujahid,Independent,99,23
NA-68,Naseeb Shahzad,Independent,86,24
