na,candidate_name,party,votes,rank
NA-185,Zartaj Gull,Independent,94927,1
NA-185,Mehmood Qadir Khan Leghari,Independent,39235,2
NA-185,Sardar Dost Muhammad Khan Khosa,PPP,26627,3
NA-185,Shiekh Usman Farooq,JIP,4563,4
NA-185,Zaka Ullah,TLP,3739,5
NA-185,Javed Iqbal,Independent,3586,6
NA-185,Hafiz Abdul Salam Nasir,JUI-F,3473,7
NA-185,Muhammad Sharif Leghari,Independent,3116,8
NA-185,Sardar Zulfiqar Ali Khan Khosa,Independent,1725,9
NA-185,Abdul Rehman Muslim,PMML,921,10
NA-185,Muhammad Hanif Pitafi,Independent,706,11
NA-185,Ruqia Bano,Independent,541,12
NA-185,Abdul Razaq Shahid,PST-T,347,13
NA-185,Muhammad Uzair,Independent,316,14
NA-185,Zia ur Rehman Khan,Independent,218,15
NA-185,Khalil Ahmad,SDP,189,16
NA-185,Azhar ul Haq Qureshi Siddique,MQM,147,17
NA-185,Muhammad Rafiq,Independent,119,18
NA-185,Jahangir Ahmad Bhatti,Independent,77,19
NA-185,Malik Muhammad Ramzan,Independent,67,20
