na,candidate_name,party,votes,rank
NA-257,Jam Kamal Khan,PML-N,78649,1
NA-257,Muhammad Aslam Bhotani,Independent,59350,2
NA-257,Mir Abdul Wahab Bizenjo,PPP,18817,3
NA-257,Haji Muhammad Akbar Lasi,TLP,7662,4
NA-257,Mir Muhammad Alam Nousherwani,JUI-F,4656,5
NA-257,Muhammad Akram,Independent,3241,6
NA-257,Mir Ali Ahmed Zehri,Independent,2284,7
NA-257,Shah Nawaz Hassan,Independent,1018,8
NA-257,Niaz Muhammad,JIP,874,9
NA-257,Muhammad Anwar Roonjho,Independent,822,10
NA-257,Maria Kamal,Independent,354,11
NA-257,Muhammad Sharif,Independent,333,12
NA-257,Abdul Khalid,MQM-P,188,13
NA-257,Muhammad Siddique,Independent,142,14
NA-257,Muhammad Haneef,Independent,139,15
NA-257,Muhammad Qasim Khan,Independent,117,16
NA-257,Wazir Ahmad Noorani,Independent,114,17
NA-257,Nawaz Ali Burfat,ANP,102,18
