na,candidate_name,party,votes,rank
NA-220,Syed Waseem Hussain,MQM,64531,1
NA-220,Faisal Mughal,Independent,52025,2
NA-220,Waseem Ahmad Rajput,PPP,28099,3
NA-220,Ghulam Qadir,TLP,7584,4
NA-220,Abdul Majeed Bhatti,Independent,4473,5
NA-220,Tahir Majeed,JIP,4365,6
NA-220,Rasheed Ahmad Khan,Independent,3884,7
NA-220,Khalid Aziz,PML-N,1969,8
NA-220,Syed Muhammad Hussain,AL,1401,9
NA-220,Nisar Ahmad Qazi,Independent,1096,10
NA-220,Arman Ahmed,JUI-S,869,11
NA-220,Sahibzada Shabbir Hassan Ansari,Independent,707,12
NA-220,Shahbaz,PMML,565,13
NA-220,Shusheel Gobind,Independent,528,14
NA-220,Shakir Mahmod,Independent,488,15
NA-220,Muhammad Adnan,Independent,427,16
NA-220,Sahibzada Abul Khair Muhammad Zubair,JUP-N,341,17
NA-220,Muhammad Rizwan,Independent,217,18
NA-220,Mazhar Rafi Memon,Independent,214,19
NA-220,Asfand Mari,Independent,187,20
NA-220,Salahuddin,Independent,179,21
NA-220,Aamir,Independent,166,22
NA-220,Nisar Ahmad Khan,Independent,159,23
NA-220,Nizam Uddin,Independent,145,24
NA-220,Malik Abdul Rasheed,TJP,144,25
NA-220,Azhar Bin Qayyum,Independent,121,26
NA-220,Zulfiqar Ali Halepoto,Independent,101,27
NA-220,Habib Ullah Khan,Independent,96,28
NA-220,Qazi Muhammad Ilyas,Independent,92,29
NA-220,Muhammad Iqbal Arain,Independent,58,30
NA-220,Nazim Ali Arain,Independent,51,31
