na,candidate_name,party,votes,rank
NA-45,Fateh Ullah Khan Miankhel,PPP,56944,1
NA-45,Maulana Obaid Ur Rehman,JUI-F,48361,2
NA-45,Sardar Shoaib Nasir Khan,Independent,23112,3
NA-45,Muhammad Yaqoob Shaikh,Independent,12548,4
NA-45,Shahi Khan Sherani,ANP,3504,5
NA-45,Inayat Ullah Khan,Independent,2311,6
NA-45,Muhammad Ijaz,JIP,1808,7
NA-45,Tallal Khan,Independent,1438,8
NA-45,Muhammad Haider Ali Khan,Independent,1210,9
NA-45,Dawar Khan Kundi,Independent,516,10
NA-45,Jehanzeb Babar,Independent,234,11
NA-45,Mustafa Kundi,Independent,226,12
