na,candidate_name,party,votes,rank
NA-132,Mian Muhammad Shehbaz Sharif,PML-N,137234,1
NA-132,Sardar Muhammad Hussain Doger,Independent,111128,2
NA-132,Faqeer Hussain Bhatti,TLP,22245,3
NA-132,Hafiz Ebtisam Elahi Zaheer,Independent,11944,4
NA-132,Chaudhary Shaheem Safdar,PPP,6219,5
NA-132,Maulana Muhammad Rafique Kasori,JUI-F,3269,6
NA-132,Tanveer Arshad,Independent,2823,7
NA-132,Rashid Tufail,Independent,574,8
NA-132,Shabbir Hussain,Independent,321,9
NA-132,Nasir Mehmood,Independent,308,10
NA-132,Muhammad Dawar Hayat,Independent,264,11
NA-132,Muhammad Zakaria,Independent,212,12
NA-132,Ahsan Amjad,Independent,198,13
NA-132,Javed Hussain Baitu,Independent,181,14
NA-132,Haji Muhammad Dogar,Independent,176,15
NA-132,Hassan Ali Khan,Independent,160,16
NA-132,Muhammad Maroof,JUP-N,138,17
NA-132,Manzoor Elahi,Independent,109,18
NA-132,Muhammad Saleem Mahar,Independent,92,19
NA-132,Nabi Ahmad,Independent,89,20
NA-132,Amjad Ali Tufail,Independent,69,21
NA-132,Hameedan Begum,Independent,45,22
