na,candidate_name,party,votes,rank
NA-211,Pir Aftab Hussain Shah Jeelani,PPP,84512,1
NA-211,Ali Nawaz Shah,Independent,53881,2
NA-211,Abdul Haq,Independent,22525,3
NA-211,Tehseen,JIP,3950,4
NA-211,Manzoor Ahmed,Independent,3776,5
NA-211,Javed Ali,Independent,3098,6
NA-211,Munawar Ali,TLP,2802,7
NA-211,Syed Imam Ali Shah,Independent,1648,8
NA-211,Adnan Khan,Independent,1528,9
NA-211,Muhammad Asad Ali Khan Junejo,PML-N,1043,10
NA-211,Abdul Rasheed,PRP,703,11
NA-211,Masood Ahmad Wasan,Independent,692,12
NA-211,Sanjay Perwani,Independent,490,13
NA-211,Usman Mughal,Independent,338,14
NA-211,Imam ali,Independent,295,15
NA-211,Muhammad Kashif Abbasi,Independent,285,16
NA-211,Muhammad Jibran,PMA,200,17
NA-211,Aslam Khan,Independent,46,18
