na,candidate_name,party,votes,rank
NA-196,Bilawal Bhutto Zardari,PPP,85370,1
NA-196,Nasir Mahmood Somro,JUI-F,34499,2
NA-196,Naheed Kuhawar,Independent,5624,3
NA-196,Saddam Hussain,TLP,2706,4
NA-196,Sultan Ahmed Khan Khuhawar,Independent,2465,5
NA-196,Muhammad Ibrahim,JIP,1389,6
NA-196,Muneer Ahmed,Independent,971,7
NA-196,Nawabuddin,PPP-SB,677,8
NA-196,Muhammad Ishaq,PRP,476,9
NA-196,Mehmood ul Hassan,Independent,375,10
NA-196,Ejaz ali Junajo,MQM,368,11
NA-196,Sohail Nazir Magsi,Independent,319,12
NA-196,Khursheed Ahmad Junejo,Independent,140,13
