na,candidate_name,party,votes,rank
NA-214,Pir Ameer Ali Shah Jellani,PPP,132365,1
NA-214,Abdul Razzaque Rahimoon,GDA,60829,2
NA-214,Makhdoom Zain Hussain Qureshi,Independent,16844,3
NA-214,Maulana Abdul Aziz,JUI-F,1686,4
NA-214,Gul Hassan,TLP,880,5
NA-214,Pir Shan Ali Shah Jillani,Independent,866,6
NA-214,Umaid Khan,Independent,366,7
NA-214,Makhdoom Shah Mehmood Qureshi,Independent,345,8
NA-214,Wali Muhammad Rahmo,Independent,97,9
NA-214,Nizam ul Din,Independent,93,10
NA-214,Dilawar Khan,Independent,83,11
