na,candidate_name,party,votes,rank
NA-60,Bilal Azhar Kiani,PML-N,99973,1
NA-60,Chaudhary Hassan Adeel,Independent,90579,2
NA-60,Ch. Zahid Akhtar,Independent,24296,3
NA-60,Kashifa Farrukh,Independent,5662,4
NA-60,Choudhary Tasneen Nasir,PPP,4653,5
NA-60,Syed Zia Ullah Bukhari,JIP,2999,6
NA-60,Malik Awais Mehmood,Independent,536,7
NA-60,Zahid Aziz,Independent,504,8
NA-60,Muhammad Aziz,PAT,493,9
NA-60,Syed Anis Raza Naqvi,BPP,436,10
NA-60,Saeeda Zaffar,PMML,397,11
NA-60,Faisal Fareed,Independent,388,12
NA-60,Fazal ul Haq,Independent,335,13
NA-60,Sheikh Qaisar Javed,MQM,282,14
NA-60,Anwaar ul haq,Independent,138,15
NA-60,Mehboob Elahi,Independent,123,16
NA-60,Zunera Taj,Independent,110,17
NA-60,Ashraf Mehmood,Independent,99,18
