na,candidate_name,party,votes,rank
NA-28,Noor Alam Khan,JUI-F,138389,1
NA-28,Haji Sajid Nawaz,Independent,65119,2
NA-28,Kiramat Ullah Khan,PPP,14830,3
NA-28,Hafiz Hashmat Khan,JIP,8930,4
NA-28,Imran Khattak,Independent,4434,5
NA-28,Sheikh Muhammad Fayyaz Khan,ANP,3644,6
NA-28,Hidayat Ullah,Independent,2208,7
NA-28,Saeed Ullah,TLP,1676,8
NA-28,Arbab Khudadad Khan,Independent,604,9
NA-28,Muhammad Jan Mohmand,TJP,474,10
NA-28,Sana Ullah,RJUI,350,11
NA-28,Ejaz Khan,Independent,295,12
NA-28,Imtiaz Khan,PDQM,170,13
