na,candidate_name,party,votes,rank
NA-167,Muhammad Usman Awaisi,PML-N,88670,1
NA-167,Malik Aamir Yar Warn,Independent,64037,2
NA-167,Mahboob Ahmad,Independent,35446,3
NA-167,Shah Rukh Malik,PPP,23645,4
NA-167,Muhammad Akhtar Abbasi,TLP,11134,5
NA-167,Muhammad Safdar Shahbaz,JUI-F,5271,6
NA-167,Malik Ahmad Yar,Independent,2758,7
NA-167,Mian Najeeb Ud Din Awaisi,Independent,1075,8
NA-167,Shafqat Shabeen,Independent,681,9
NA-167,Sheikh Dilshad Ahmad,Independent,465,10
NA-167,Syed Ejaz Hussain,Independent,390,11
