na,candidate_name,party,votes,rank
NA-125,Muhammad Afzal Khokhar,PML-N,65102,1
NA-125,Javaid Umar,Independent,51144,2
NA-125,Khuram Shahzad,TLP,25490,3
NA-125,Chaudhry Abdul Ghafoor Khan,PPP,11297,4
NA-125,Zabeeh Ullah Balagan,JIP,2712,5
NA-125,Nizam Din,JUI-F,1916,6
NA-125,Rana Tariq Jamal,PMML,938,7
NA-125,Ahmad Ikhwan,PAT,283,8
NA-125,Aqil Omar,Independent,259,9
NA-125,Shabbir Ahmad,Independent,176,10
NA-125,Bilawal Ayub,Independent,154,11
NA-125,Mubeen Akram,Independent,153,12
NA-125,Zahid Iqbal,Independent,120,13
NA-125,Sardar Kamil Umar,Independent,107,14
NA-125,Awais Ahmad Bhatti,Independent,92,15
NA-125,Saif Ul Malook,Independent,78,16
