na,candidate_name,party,votes,rank
NA-147,Chaudry Iftikhar Nazir,PML-N,107933,1
NA-147,Naveed Hameed,Independent,83813,2
NA-147,Muhammad Ayaz Khan Niazi,IPP,61824,3
NA-147,Ghulam Abbas,TLP,14057,4
NA-147,Atta Ur Rehman,Independent,3059,5
NA-147,Muhammad Hussain Khan Niazi,Independent,2930,6
NA-147,Junaid Javed,Independent,1607,7
NA-147,Abdul Hameed Alias Arfan,JIP,1355,8
NA-147,Muhammad Shamshad,PMML,1145,9
NA-147,Hamza Humayun Khan,Independent,488,10
NA-147,Humayun Khan,Independent,400,11
NA-147,Chaudhary Zulfqar Ali Siddhu,Independent,367,12
NA-147,Rao Muhammad Arif,Independent,214,13
NA-147,Muhammad Jamil Shah,Independent,209,14
