na,candidate_name,party,votes,rank
NA-78,Muhammad Mobeen Arif,Independent,106504,1
NA-78,Khurram Dastagir Khan,PML-N,89478,2
NA-78,Muhammad Kamran,TLP,14703,3
NA-78,Hameed Ud Din Awan,JIP,5821,4
NA-78,Haris Meeran,PPP,3368,5
NA-78,Qaiser Mustafa Jajja,PMML,3321,6
NA-78,Chaudhry Muhammad Saeed,Independent,3221,7
NA-78,Chaudhry Muhammad Siddique,Independent,1830,8
NA-78,Samra Amanat,Independent,1238,9
NA-78,Chaudhry Hamza Saeed,Independent,630,10
NA-78,Muhammad Pervaiz Iqbal Virk,PAT,443,11
NA-78,Harris Chohan,Independent,413,12
NA-78,Muhammad Arsalan Khalid,PNP,365,13
NA-78,Chaudhry Hasnain Younas,Independent,338,14
NA-78,Kaleem Ullah Khan,Independent,261,15
NA-78,Imran,Independent,233,16
NA-78,Muhammad Zubair,Independent,186,17
NA-78,Sardar Haq Nawaz Cheema,Independent,171,18
NA-78,Abdul Karim,Independent,162,19
NA-78,Rana Muhammad Iqbal,Independent,144,20
NA-78,Muhammad Ishaq,PML-Q,133,21
NA-78,Usman Siddique,Independent,124,22
NA-78,Ilyas Hussain Rehan,Independent,117,23
NA-78,Chaudhry Ashraf Ali,Independent,98,24
NA-78,Farrukh Hussain,MQM-P,74,25
NA-78,Manzoor Qadir Bhinder,Independent,73,26
NA-78,Pervaiz Ahmed,Independent,68,27
NA-78,Dr. Sohail Zafar Cheema,Independent,60,28
NA-78,Nazia Siddique,Independent,43,29
NA-78,Muhammad Ishaq Khan,Independent,35,30
NA-78,Parvaiz Abid Haral,Independent,34,31
NA-78,Kashif Sabir Khan,Independent,25,32
NA-78,Zain Ali Bhatti,Independent,24,33
NA-78,Syed Ali Raza Husaini,Independent,24,34
NA-78,Aqeel Anwar Dar,Independent,23,35
