na,candidate_name,party,votes,rank
NA-253,Mian Khan Mandrani Bugti,Independent,54506,1
NA-253,Mir Dostain Khan Domki,PML-N,45532,2
NA-253,Naseer Ahmed Kakar,JUI-F,32600,3
NA-253,Nawabzada Shahzain Bugti,JWP,32345,4
NA-253,Sadam Tareen,Independent,29795,5
NA-253,Habib Ur Rehman Dummar,PKMAP,12887,6
NA-253,Malik Gaman Khan Marri,BNP,9059,7
NA-253,Sardarzada Akbar Khan,Independent,3483,8
NA-253,Mir Bangul Marri,Independent,2264,9
NA-253,Malik Faisal Bashir Awan,TLP,2078,10
NA-253,Farid Ullah Dumar,ANP,1355,11
NA-253,Yar Muhammad,NP,957,12
NA-253,Ahmad Jan,NDM,787,13
NA-253,Khuda e Dad Khan,Independent,650,14
NA-253,Babar Marghzani,Independent,593,15
NA-253,Naqeeb Ullah,RJUI,560,16
NA-253,Abdul Jabbar,BNP-A,560,17
NA-253,Jaleel Ahmad,Independent,511,18
NA-253,Mahr Ullah,PNAP,455,19
NA-253,Muhammad Saleem,MQM-P,420,20
NA-253,Mir Abdul Nabi Khan,Independent,331,21
NA-253,Attaullah,Independent,292,22
NA-253,Mir Sardar Khan Rind,Independent,290,23
NA-253,Mir Liaqat Ali Khan,Independent,218,24
NA-253,Mir Durakh Khan Domki,Independent,217,25
NA-253,Abdul Baqi Tareen,Independent,88,26
NA-253,Kohda Yar Marri,Independent,85,27
NA-253,Kalsoom Panezai,Independent,79,28
NA-253,Khudai Dost Kakar,Independent,57,29
NA-253,Mir Balach Khan Domki,Independent,38,30
