na,candidate_name,party,votes,rank
NA-91,Muhammad Sana Ullah Khan Masti Khel,Independent,106153,1
NA-91,Abdul Majeed Khan Khanankhel,PML-N,85532,2
NA-91,Saeed Akbar Khan Nawani,Independent,71922,3
NA-91,Ameer Muhammad Khan,Independent,10064,4
NA-91,Malik Muhammad Younas Raza,TLP,9489,5
NA-91,Taimoor Hassan Khan,Independent,7524,6
NA-91,Farooq Ahmad Khan,Independent,5431,7
NA-91,Ejaz Ali Khan Shahani,PPP,3434,8
NA-91,Rustam Ali Saqi,JIP,2104,9
NA-91,Sawda Kashmir Khan,Independent,1785,10
NA-91,Gul Meer Khan,SKQM,920,11
NA-91,Muhammad Arshad,KIAP,715,12
NA-91,Shahzad Hassan Khan,Independent,633,13
NA-91,Muhammad Arshad Awan,Independent,593,14
NA-91,Sundas Khan,Independent,513,15
NA-91,Farhan Khan,Independent,397,16
NA-91,Sheraz Ahmad Khan,Independent,272,17
