na,candidate_name,party,votes,rank
NA-103,Muhammad Ali Sarfraz,Independent,147987,1
NA-103,Haji Muhammad Akram Ansari,PML-N,86643,2
NA-103,Muhammad Ghulam Rasool,TLP,11844,3
NA-103,Rana Mubashir Hussain,PPP,3224,4
NA-103,Muhammad Afzaal,JIP,3092,5
NA-103,Muhammad Asif,PMML,1700,6
NA-103,Haleem Aslam,Independent,1679,7
NA-103,Ch Imran Iqbal Kahloon,Independent,557,8
NA-103,Ali Raza,Independent,442,9
NA-103,Muhammad Umar Javed,Independent,426,10
NA-103,Khurram Shehzad,Independent,345,11
NA-103,Hassan Masood,Independent,278,12
NA-103,Amjad Hussain,Independent,232,13
NA-103,Iqra Mubarik,PTI-N,188,14
NA-103,Abrar Ul Haq,Independent,187,15
NA-103,Muhammad Amin,MQM,145,16
NA-103,Hanzla Bin Haleem,Independent,144,17
NA-103,Rana Abdul Razzaq Khan,Independent,137,18
NA-103,Malik Muhammad Nawaz,Independent,133,19
NA-103,Shiekh Salman Arif,Independent,98,20
NA-103,Abrar Rashid,Independent,97,21
NA-103,Munir Ahmad,Independent,88,22
NA-103,Sajid Sohail,Independent,83,23
NA-103,Muhammad Islam,Independent,66,24
NA-103,Sardar Muhammad,Independent,65,25
NA-103,Muhammad Shahbaz,Independent,59,26
NA-103,Hamd Islam,Independent,58,27
NA-103,Khurram Ijaz,Independent,51,28
NA-103,Abdul Rehman,Independent,51,29
NA-103,Muhammad Ilyas,Independent,50,30
NA-103,Chaudhary Imtiaz Rabbani,Independent,49,31
NA-103,Amina Sarfraz,Independent,49,32
NA-103,Abdul Ghafar,Independent,41,33
NA-103,Munawar Fayyaz Sunny,Independent,37,34
NA-103,Munir Ahmad Babar,Independent,33,35
NA-103,Aneeq Zafar,Independent,33,36
NA-103,Muhammad Kashif,AJPP,31,37
NA-103,Hanan Tahir Shah,Independent,26,38
NA-103,Muhammad Tayyab,Independent,24,39
NA-103,Fozia Sikandar Ranjha,Independent,22,40
NA-103,Muhammad Anwaar,Independent,22,41
NA-103,Faisal Sattar,Independent,21,42
NA-103,Muhammad Younas Khaleeque,Independent,21,43
NA-103,Muhammad Usman Gujjar,Independent,19,44
NA-103,Syed Asim Ali Naqvi,Independent,16,45
