na,candidate_name,party,votes,rank
NA-126,Malik Saif Ul Mulook Khokhar,PML-N,67121,1
NA-126,Malik Touqeer Abbas Khokhar,Independent,60506,2
NA-126,Muhammad Ahmad Majeed,TLP,10124,3
NA-126,Ameer Ul Azim,JIP,7424,4
NA-126,Chaudhary Amjad Ali Jutt,PPP,3068,5
NA-126,Imran Liaqat,PMML,619,6
NA-126,Malik Muhammad Zaman,Independent,550,7
NA-126,Malik Nadeem Abbas,Independent,467,8
NA-126,Salman Raza Bara,Independent,260,9
NA-126,Mian Muhammad Jamil,Independent,235,10
NA-126,Muhammad Sarfraz Ali,Independent,189,11
NA-126,Malik Khadim Hussain,Independent,131,12
NA-126,Malik Jahangir Hussain,Independent,130,13
NA-126,Bilawal Ayub,Independent,108,14
NA-126,Zafar Iqbal,Independent,96,15
NA-126,Asim Malik,Independent,94,16
NA-126,Abdul Aziz Abid,Independent,79,17
NA-126,Malik Nisar Ahmad Khokhar,Independent,59,18
NA-126,Shahid Siddique Khan,Independent,51,19
