na,candidate_name,party,votes,rank
NA-90,Umair Khan Niazi,Independent,179956,1
NA-90,Muhammad Humair Hayyat Khan Niazi,PML-N,51266,2
NA-90,Ali Haider Noor Khan Niazi,Independent,23983,3
NA-90,Muhammad Tayyab,TLP,12690,4
NA-90,Aziz Ur Rehman,PPP,6980,5
NA-90,Muhammad Aslam Khan,JIP,2822,6
NA-90,Qaiser Obaid Khan,Independent,2067,7
NA-90,Muhammad Rafi,Independent,1432,8
NA-90,Pervaiz Iqbal,Independent,936,9
NA-90,Azam Khan Niazi,Independent,595,10
NA-90,Tahir Javed Khan Niazi,PMML,552,11
NA-90,Taj Muhammad,Independent,390,12
NA-90,Zubair Hamza Khan,Independent,357,13
NA-90,Zia Ullah Khan,Independent,313,14
NA-90,Gul Kamand Khan,Independent,282,15
NA-90,Muhammad Imran,Independent,195,16
