na,candidate_name,party,votes,rank
NA-57,Danyal Choudhary,PML-N,83333,1
NA-57,Seemabia Tahir,Independent,59803,2
NA-57,Mirza Khalid Mehmood,JIP,8958,3
NA-57,Zia ul Haq,SKQM,7320,4
NA-57,Choudhary Rizwan Younis,TLP,7188,5
NA-57,Mukhtar Abbas,PPP,3724,6
NA-57,Sheikh Rashid Shafiq,AML,3532,7
NA-57,Choudhary Muhammad Adnan,Independent,1820,8
NA-57,Ch. Musadiq Mehmood Ghumman (Rtd),Independent,1615,9
NA-57,Abdul Wajid Hussain,JUI-F,1400,10
NA-57,Sardar Anis Sultan (Rtd),Independent,1265,11
NA-57,Nouman Aziz,Independent,385,12
NA-57,Muhammad Ali Khan,Independent,342,13
NA-57,Muhammad Asghar (Rtd),Independent,264,14
NA-57,Muhammad Zubair Kayani,Independent,229,15
NA-57,Zahid Aqeel,Independent,185,16
NA-57,Syed Rashid Hussain Shah,PFP,182,17
NA-57,Chaudhary Changaiz Khan,Independent,150,18
NA-57,Sardar Asif Khan,Independent,142,19
NA-57,Azmat Ali,PAL,115,20
NA-57,Tasmiyah Khan,Independent,89,21
NA-57,Muhammad Arshad Javid Kasana,Independent,88,22
NA-57,Irfan Saeed Mirza,Independent,69,23
NA-57,Zahid Parvaiz,PML-KQK,57,24
NA-57,Iftikhar Ahmad Chaudhary (Rtd),Independent,38,25
NA-57,Choudhary Imtiaz Ahmed,Independent,15,26
