na,candidate_name,party,votes,rank
NA-172,Javed Iqbal Waraich,Independent,129727,1
NA-172,Mian Imtiaz Ahmad,PML-N,84893,2
NA-172,Choudhary Zafar Iqbal Warriach,PPP,21080,3
NA-172,Muhammad Abbas,TLP,9275,4
NA-172,Dr. Anwar ul Haq,JIP,3935,5
NA-172,Anwaar Ahmad Najmee,Independent,1767,6
NA-172,Noor Ahmad Sial,JUP-N,1215,7
NA-172,Saif Ullah,PMML,926,8
NA-172,Hasnain Waraich,Independent,344,9
NA-172,Muhammad Amin Baig,Independent,305,10
NA-172,Shahzaib Javed,Independent,268,11
NA-172,Rana Raheel Ahmad Khan,Independent,91,12
