na,candidate_name,party,votes,rank
NA-128,Mohammad Awn Saqlain,IPP,172578,1
NA-128,Salman Akram Raja,Independent,159026,2
NA-128,Asim Irshad Khan,TLP,14655,3
NA-128,Liaqat Baloch,JIP,9249,4
NA-128,Adeel Ghulam Mohiuddin,PPP,4374,5
NA-128,Muhammad Nauman Qaiser,Independent,3816,6
NA-128,Khurram Taseer,Independent,2493,7
NA-128,Muhammad Nawaz,Independent,2129,8
NA-128,Muhammad Shafiq,PMML,1864,9
NA-128,Ghazanfar Aziz,JUI-F,1603,10
NA-128,Shafqat Mehmood,Independent,1047,11
NA-128,Zeeshan Akhtar,Independent,806,12
NA-128,Rubina Shaheen,Independent,733,13
NA-128,Taimoor Tahir,PPP-SB,656,14
NA-128,Attiq Ur Rehman,Independent,435,15
NA-128,Majid Ikram Mian,Independent,424,16
NA-128,Irfan Ali Shah,PML-KQK,310,17
NA-128,Chaudhry Abdul Rasheed Shahid,Independent,297,18
NA-128,Agha Muhammad Ali Khan,MQM,173,19
NA-128,Mian Muhammad Affan,Independent,144,20
NA-128,Muhammad Zahid,IJI,129,21
NA-128,Naeem Asghar,Independent,97,22
