na,candidate_name,party,votes,rank
NA-234,Muhammad Moin Aamir Pirzada,MQM-P,72009,1
NA-234,Faheem Khan,Independent,44487,2
NA-234,Muhammad Ali Rashid,PPP,18038,3
NA-234,Akhter Hussain Qureshi,JIP,13521,4
NA-234,Abdul Sattar,TLP,8763,5
NA-234,Saleem Zia,PML-N,6580,6
NA-234,Syed Abdul Rafay,PRP,3257,7
NA-234,Ghulam Muhammad Banglani,Independent,2418,8
NA-234,Muhammad Shahid,Independent,1064,9
NA-234,Muhammad Sadiq,MQM,500,10
NA-234,Ghulab Khan,SKQM,460,11
NA-234,Sardar Babar Abbasi,Independent,353,12
NA-234,Faraz Ur Rehman,Independent,312,13
NA-234,Muhammad Daniyal Ahmed,Independent,282,14
NA-234,Rasheed Ahmed,IPP,212,15
NA-234,Dilawar Gulzar,GDA,212,16
NA-234,Muhammad Mazhar Jaffar,BPP,210,17
NA-234,Sarfaraz Ahmad Chaudhary,Independent,158,18
NA-234,Nawabzada Sardar Rafique Ahmed Abbasi,Independent,143,19
NA-234,Haris Khalid Mehmood Khan,Independent,108,20
