na,candidate_name,party,votes,rank
NA-73,Nosheen Iftikhar,PML-N,112178,1
NA-73,Ali Asjad Malhi,Independent,104190,2
NA-73,Tariq Mehmood,TLP,20229,3
NA-73,Rana Mehmood Ashraf,PPP,3135,4
NA-73,Zulfiqar Ahmed,JIP,2301,5
NA-73,Usman Ashraf,Independent,2206,6
NA-73,Khalid Mehmood Cheema,PMML,2076,7
NA-73,Muhammad Asif Bajwa,Independent,1978,8
NA-73,Waqas Qadoos,PNP,1290,9
NA-73,Jamil Ashraf,Independent,1025,10
NA-73,Iftikhar Ahmad,Independent,475,11
NA-73,Ghulam Mustafa,PAT,385,12
NA-73,Tasawar Abbas,PTI-N,370,13
NA-73,Aman Ullah,Independent,352,14
NA-73,Omer Asjad,Independent,210,15
NA-73,Sami Ullah Malhi,Independent,209,16
NA-73,Sharmeen Ali,Independent,184,17
NA-73,Muhammad Hafeez,Independent,163,18
NA-73,Ansar Waqas,Independent,155,19
NA-73,Fizan Ashraf,Independent,155,20
NA-73,Muhammad Amjad,Independent,149,21
NA-73,Muhammad Asif,Independent,126,22
NA-73,Muhammad Rizwan,Independent,112,23
NA-73,Abdul Waheed Meo,Independent,96,24
NA-73,Choudhary Mumtaz Ali,Independent,90,25
NA-73,Muhammad Khalil Sandho,Independent,65,26
