na,candidate_name,party,votes,rank
NA-22,Muhammad Atif Khan,Independent,115935,1
NA-22,Ameer Haidar Azam Khan Hoti,ANP,66952,2
NA-22,Qari Niaz Ali Haqqani,JUI-F,24357,3
NA-22,Syed Abid Ali Shah,PPP,2971,4
NA-22,Umbreen alias Hina,TLP,1292,5
NA-22,Mukhtiar,Independent,999,6
NA-22,Syed Umar Farooq,Independent,936,7
NA-22,Zulfiqar Khan,Independent,385,8
NA-22,Syed Kamal,Independent,283,9
NA-22,Sher Bahadur,Independent,239,10
NA-22,Muhammad Haneef,Independent,206,11
NA-22,Shuja ul Mulak,RJUI,166,12
NA-22,Muhammad Ayaz,Independent,165,13
NA-22,Muhammad Sheron Ameerzada,PTSP,149,14
NA-22,Jibran Khan,Independent,128,15
NA-22,Muhammad Said,PFM,124,16
NA-22,Saud Shah Roghani,Independent,84,17
