na,candidate_name,party,votes,rank
NA-258,Phullain,NP,22318,1
NA-258,Noor Ahmad Adil Baloch,BNP-A,13798,2
NA-258,Mir Aslam Buledi,PML-N,10379,3
NA-258,Haji Zahid Hussain Baloch,BNP,6591,4
NA-258,Sardar Zafarullah Khan Gichki,JUI-F,2552,5
NA-258,Sabir Ali Baloch,PPP,2355,6
NA-258,Jasim,BAP,592,7
NA-258,Muhammad Javed,PMML,196,8
NA-258,Hidayat ur Rehman Baloch,HDT,156,9
NA-258,Zafarullah,Independent,143,10
NA-258,Muhammad Ismail Buledi,RJUI,129,11
NA-258,Shabir Ahmed,Independent,116,12
NA-258,Muhammad Noor,Independent,80,13
NA-258,Mohammad Yaseen,Independent,72,14
NA-258,Saeedullah,Independent,28,15
NA-258,Mir Chakar Piral,Independent,25,16
NA-258,Muhammad Ayub,Independent,20,17
NA-258,Shey Naseem Buledi,Independent,12,18
