na,candidate_name,party,votes,rank
NA-7,Mehboob Shah,Independent,84670,1
NA-7,Muhammad Ismail,JIP,31104,2
NA-7,Alam Zaib Khan,PPP,20464,3
NA-7,Muhammad Zahid Khan,ANP,16653,4
NA-7,Siraj uddin,JUI-F,13862,5
NA-7,Yasir Khan,PML-N,4175,6
NA-7,Naseeb Zaman,QWP,548,7
NA-7,Fazal Rahim,PMML,221,8
NA-7,Umar Nawaz,Independent,217,9
NA-7,Gul Nasib Khan,RJUI,193,10
NA-7,Aslam Khan,Independent,165,11
NA-7,Muhammad Inam Khan,Independent,148,12
NA-7,Mihtab Hayat Khan,MQM,84,13
NA-7,Tilawat Shah,Independent,77,14
NA-7,Ubaid Ullah Anwar,PRP,66,15
NA-7,Muhammad Sajjad Khan,Independent,41,16
