na,candidate_name,party,votes,rank
NA-84,Shafqat Abbas Awan,Independent,101949,1
NA-84,Liaqat Ali Khan,PML-N,77478,2
NA-84,Tasneem Ahmed Qureshi,PPP,33869,3
NA-84,Aamir Mahmood,JIP,6364,4
NA-84,Muhammad Munir,TLP,6103,5
NA-84,Khawar Abbas,Independent,3187,6
NA-84,Muhammad Furqan Zulqarnain,Independent,1883,7
NA-84,Hamza Mateen Qureshi,Independent,1876,8
NA-84,Muhammad Akmal Javed,PMML,785,9
NA-84,Sajjad Haider Gondal,Independent,642,10
NA-84,Muhammad Bilal Khan,Independent,355,11
NA-84,Rao Rahat Ali Khan,Independent,339,12
NA-84,Rao Muhammad Sarwar,Independent,245,13
NA-84,Imran Raza,Independent,232,14
NA-84,Muhammad Mumtaz Akhtar khalu,Independent,207,15
NA-84,Ali Asif,Independent,200,16
NA-84,Mian Muhammad Anwar Khurshid,Independent,155,17
NA-84,Abdullah Mumtaz Kahloon,Independent,125,18
NA-84,Hafiz Abdul Rehman Sahi,Independent,87,19
NA-84,Nasir Iqbal,Independent,79,20
NA-84,Ansar Abbas Baloch,Independent,72,21
NA-84,Muhammad Azhar Malhi,Independent,65,22
NA-84,Muhammad Sabatin Shah Naqvi,Independent,59,23
NA-84,Waseem Abbas,Independent,56,24
NA-84,Zahida Parveen,Independent,51,25
