na,candidate_name,party,votes,rank
NA-44,Ali Amin Khan Gandapur,Independent,92161,1
NA-44,Maulana Fazl Ur Rahman,JUI-F,59585,2
NA-44,Faisal Karim Kundi,PPP,35248,3
NA-44,Muhammad Shafiq Ul Hai,TLP,9315,4
NA-44,Syed Muhammad Jawad Asghar Shah,PTI-P,4064,5
NA-44,Waqar Ahmed Khan,Independent,1648,6
NA-44,Khuram Shehzad,Independent,1231,7
NA-44,Muhammad Yousaf Khan,JIP,1167,8
NA-44,Mehnaz Ali,Independent,1095,9
NA-44,Faisal Amin Khan,Independent,786,10
NA-44,Sirhaan Ahmed Khan,Independent,573,11
NA-44,Muhammad Tanveer,Independent,320,12
NA-44,Amin Ullah Khan,Independent,314,13
NA-44,Sherullah Khan,ANP,240,14
NA-44,Hamayun Khan,Independent,229,15
NA-44,Zamir Hussain,Independent,219,16
NA-44,Muhammad Ali Raza,Independent,144,17
NA-44,Rehan Malik,Independent,123,18
NA-44,Akhtar Saeed,Independent,123,19
NA-44,Malik Muhammad Ayaz,Independent,79,20
