na,candidate_name,party,votes,rank
NA-222,Mir Ghulam Ali Talpur,PPP,113989,1
NA-222,Mir Hussain Bux Talpur,GDA,67011,2
NA-222,Shah Nawaz,Independent,6932,3
NA-222,Abdullah,PRP,3587,4
NA-222,Pir Muhammad Ali Sarhandi,TLP,1671,5
NA-222,Hassnain Ali Mirza,Independent,1577,6
NA-222,Safia Khanum,JIP,1122,7
NA-222,Azhar Ali,JUI-F,954,8
NA-222,Muhammad Hashim Dil,Independent,666,9
NA-222,Muhammad Akram,Independent,524,10
NA-222,Mir Noor Muhammad Talpor,Independent,503,11
NA-222,Muhammad Shoaib,PMML,453,12
NA-222,Asad Kamal Khan Chang,Independent,411,13
NA-222,Muhammad Tahir,Independent,345,14
NA-222,Muhammad Siddique,Independent,82,15
