na,candidate_name,party,votes,rank
NA-133,Dr. Azeem Ud Din Zahid Lakhvi,Independent,130167,1
NA-133,Rana Muhammad Ishaq Khan,PML-N,119343,2
NA-133,Ghulam Murtaza,TLP,21950,3
NA-133,Muhammad Irshad Khan,PPP,10903,4
NA-133,Sardar Muhammad Ayyan Nakai,Independent,8712,5
NA-133,Waqas Hassan Mokal,Independent,6033,6
NA-133,Muhammad Hashim Dogar,IPP,4289,7
NA-133,Abdul Haleem,JUI-F,3485,8
NA-133,Rana Arshad Ali,Independent,3066,9
NA-133,Muhammad Hussam Hashim,Independent,2749,10
NA-133,Rana Liaquat Ali Khan,Independent,1546,11
NA-133,Malik Muhammad Naeem Haider,JIP,1198,12
NA-133,Mirza Jahanzaib Baig,Independent,1077,13
NA-133,Jahanzaib Hasan Moakal,Independent,720,14
NA-133,Rizwan Babar,Independent,478,15
NA-133,Zaeem Ud Din Abid,MJAH,175,16
NA-133,Rana Muhammad Saeed Akhtar,Independent,149,17
NA-133,Ijaz Ali Bhatti,Independent,141,18
