na,candidate_name,party,votes,rank
NA-18,Omar Ayub Khan,Independent,194157,1
NA-18,Babar Nawaz Khan,PML-N,113079,2
NA-18,Haji Muhammad Saleh Awan,TLP,12378,3
NA-18,Maulana Muhammad Ayub Siddiqui,JUI-F,9002,4
NA-18,Ghazan Iqbal Khan,JIP,7839,5
NA-18,Syed Ali Zawar Hussain Naqvi,PPP,4003,6
NA-18,Raja Faisal Zaman,Independent,3195,7
NA-18,Asad Usman,Independent,1803,8
NA-18,Rizwan Saeed Mughal,Independent,1504,9
NA-18,Abdul Mateen,PMML,1343,10
NA-18,Abdul Shakoor,PIRP,691,11
NA-18,Shafqat Mehmood,Independent,633,12
NA-18,Zulfiqar Ahmed,Independent,533,13
NA-18,Faiza Bibi Rasheed,QWP,398,14
NA-18,Ghulam Mujtaba,Independent,248,15
NA-18,Syed Wajid Hussain Shah,Independent,184,16
