na,candidate_name,party,votes,rank
NA-231,Abdul Hakeem Baloch,PPP,43634,1
NA-231,Khalid Mehmood Ali,Independent,43245,2
NA-231,Umar Farooq,JIP,14143,3
NA-231,Jamil Ahmad Khan,PML-N,9999,4
NA-231,Muhammad Ismail Hussaini,TLP,7308,5
NA-231,Nisar Ahmed,Independent,4530,6
NA-231,Tahir Malik,Independent,1468,7
NA-231,Tariq Aziz,PRP,1241,8
NA-231,Abdul Qayyum,ANP,792,9
NA-231,Aurangzaib Khan,GDA,640,10
NA-231,Muhammad Ismail,Independent,560,11
NA-231,Malik Ishtiaq Ahmed Bashir,Independent,389,12
NA-231,Sheezan,Independent,372,13
NA-231,Muhammad Wali Shah,JUI-S,329,14
NA-231,Baber Hakeem Baloch,Independent,298,15
NA-231,Syed Arif Raza Zaidi,MWM,225,16
NA-231,Muhammad Rizwan Chandna,Independent,136,17
NA-231,Qadir Bux,Independent,133,18
NA-231,Syed Atif Shahzad Nabi,Independent,131,19
NA-231,Muhammad Qasim,IPP,124,20
NA-231,Salman Abdullah,Independent,102,21
NA-231,Syed Zahid Abbas Naqvi,Independent,100,22
NA-231,Rashid Jahangir,Independent,79,23
NA-231,Wajahat Ullah Safi,Independent,58,24
NA-231,Syed Tahir Hussain Shah,Independent,45,25
