na,candidate_name,party,votes,rank
NA-239,Nabeel Ahmad Gabool,PPP,40027,1
NA-239,Muhammad Yasir,Independent,37285,2
NA-239,Fazal ur Rahman Niazi,JIP,22377,3
NA-239,Muhammad Sharjeel Goplani,TLP,14761,4
NA-239,Moulana Noor ul Haq,JUI-F,11813,5
NA-239,Abdul Shakoor Shad,Independent,1333,6
NA-239,Muhammad Irshad,Independent,213,7
NA-239,Hamza,PMML,201,8
NA-239,Saeed Ahmad,Independent,196,9
NA-239,Anwar Shah,Independent,173,10
NA-239,Maula Bakhsh Soomro,Independent,160,11
NA-239,Habibullah Khan,Independent,140,12
NA-239,Muhammad Akhtar,Independent,118,13
NA-239,Rasheed,Independent,96,14
NA-239,Faisal Allana,Independent,89,15
NA-239,Suleman Khan,Independent,77,16
NA-239,Shaista Ameer,GDA,66,17
NA-239,Abdul Wahab,Independent,53,18
NA-239,Faisal Jamal,Independent,44,19
