na,candidate_name,party,votes,rank
NA-97,Mohammad Saad Ullah Khan Baloch,Independent,72846,1
NA-97,Ali Gohar Khan Baloch,PML-N,70532,2
NA-97,Muhammad Khan Nadeem Baloch,PPP,32651,3
NA-97,Humayun Akhtar Khan,IPP,30447,4
NA-97,Hafiz Abid Hussain Rizvi,TLP,10442,5
NA-97,Pir Mudasser Ahmad Shah Chishti,JIP,6902,6
NA-97,Zulfiqar Ali Wattoo,Independent,5743,7
NA-97,Chaudhary Nadeem,Independent,2277,8
NA-97,Mehar Ghulam Hyder Fatyana,Independent,2123,9
NA-97,Azeem Ali,Independent,1999,10
NA-97,Qaisar Haroon Toor,PMML,1623,11
NA-97,Mohammad Riaz Khan,Independent,1593,12
NA-97,Waseem Baqir Noor,Independent,1003,13
NA-97,Muhammad Akhtar,MQM,989,14
NA-97,Muntazir Mehdi,Independent,491,15
NA-97,Muhammad Amin Watoo,AJPP,277,16
NA-97,Ehsan Riaz,Independent,171,17
NA-97,Khalid Mehmood,Independent,141,18
NA-97,Rai Naeem Asad,Independent,109,19
NA-97,Sakhawat Imran,Independent,96,20
NA-97,Ayesha Rajab Baloch,Independent,87,21
NA-97,Rai Wajid Ali,Independent,80,22
