na,candidate_name,party,votes,rank
NA-65,Chaudhry Naseer Ahmad Abbas,PML-N,90772,1
NA-65,Syed Wajahat Hussain Shah,Independent,82351,2
NA-65,Qamar Zaman Kaira,PPP,51158,3
NA-65,Haseeb Muhammad Khan,Independent,22136,4
NA-65,Muddasar Ali,TLP,20389,5
NA-65,Chaudhary Abdul Sattar,JIP,4236,6
NA-65,Umer Farooq,JUI-F,1564,7
NA-65,Abdul Wajid,PMML,1261,8
NA-65,Muhammad Ayub Butt,PAT,1037,9
NA-65,Syed Nasir Abbas Shah,Independent,878,10
NA-65,Syed Faiz Ul Hassan,Independent,488,11
NA-65,Hamza Qamar Kaira,Independent,469,12
NA-65,Muhammad Fahad,BPP,407,13
NA-65,Syed Fatah Haidar,Independent,308,14
NA-65,Zahid Hussain,Independent,302,15
NA-65,Muhammad Hussain Wattu,NP,201,16
NA-65,Muhammad Imran,Independent,167,17
NA-65,Sharafat Hussain,Independent,115,18
NA-65,Muhammad Ali,Independent,108,19
NA-65,Ch. Sajjad Ahmad,Independent,99,20
