na,candidate_name,party,votes,rank
NA-63,Hussain Elahi,PML-Q,87567,1
NA-63,Sajid Yousaf,Independent,82176,2
NA-63,Nawabzada Ghazanfar Ali Gul,PML-N,56870,3
NA-63,Muhammad Mahmood Qadari,TLP,28098,4
NA-63,Muhammad Mudabbir Siddique,JIP,3645,5
NA-63,Choudhary Shoukat Ali,PPP,1348,6
NA-63,Muhammad Usman Nawaz,Independent,1232,7
NA-63,Mubashir Hussain,PAT,1017,8
NA-63,Muhammad Imran,Independent,730,9
NA-63,Asad Munawar,PMML,706,10
NA-63,Sahibzada Sultan Mehmood Qadari,Independent,595,11
NA-63,Tanveer Ahmad,Independent,546,12
NA-63,Fakhar Zaman,Independent,544,13
NA-63,Muhammad Ali Sajid Chattha,Independent,149,14
