na,candidate_name,party,votes,rank
NA-71,Khawaja Muhammad Asif,PML-N,119017,1
NA-71,Rehana Imtiaz Dar,Independent,100563,2
NA-71,Muhammad Aslam Bhatti,TLP,11529,3
NA-71,Tahir Mehmood Butt,JIP,4955,4
NA-71,Ruba Umar,Independent,3194,5
NA-71,Muhammad Eshan,PMML,2285,6
NA-71,Khawaja Awais Mushtaq,PPP,1609,7
NA-71,Mir Umar Farooq Meyer,Independent,609,8
NA-71,Dr. Fateh Ali Muavia,PNP,401,9
NA-71,Sohail Afzal Mir,Independent,341,10
NA-71,Mian Muhammad Raza,PAT,337,11
NA-71,Muhammad Khalid Shakir,JUP-N,180,12
NA-71,Shahid Mehmood,Independent,119,13
NA-71,Ch. Muhammad Sarwar,MQM,98,14
NA-71,Danial Basharat,Independent,86,15
NA-71,Mirza Asif Baig,TJP,86,16
NA-71,Mian Naeem Javed,Independent,86,17
NA-71,Ashfaq Ahmad,Independent,61,18
