na,candidate_name,party,votes,rank
NA-50,Malik Sohail Khan,PML-N,118288,1
NA-50,Eman Waseem,Independent,109908,2
NA-50,Hafiz Muhammad Saad Rizvi,TLP,91469,3
NA-50,Sardar Saleem Haider,PPP,63689,4
NA-50,Amjad Ali Khan,JIP,7177,5
NA-50,Muhammad Saleem,Independent,4291,6
NA-50,Muhammad Safdar Hashmi,PRP,3985,7
NA-50,Hassan Yar,Independent,3569,8
NA-50,Inbisat Tahir Sadiq,Independent,2808,9
NA-50,Riffat Naz,Independent,2025,10
NA-50,Naz Tahir,Independent,1607,11
NA-50,Malik Bahadur Yar,Independent,1286,12
NA-50,Malik Muhammad Asim Raza (Retired),Independent,903,13
NA-50,Fakhar Ud Din,JUI-F,876,14
NA-50,Qasim Ali Khan,PMML,724,15
NA-50,Qaisar Shahzad,Independent,712,16
NA-50,Imran Ali Khan,Independent,663,17
NA-50,Sardar Ghulam Mujtaba Khan,MQM,550,18
NA-50,Muhammad Aasim,TAP,501,19
NA-50,Siraj Gull,Independent,392,20
