na,candidate_name,party,votes,rank
NA-170,Mian Ghous Muhammad,Independent,113336,1
NA-170,Sheikh Fayyaz uddin,PML-N,79144,2
NA-170,Syed Hamid Saeed Kazmi,PPP,35549,3
NA-170,Hafiz Muhammad Ahmad Bukhari,TLP,6635,4
NA-170,Muhammad Arshad,Independent,2019,5
NA-170,Mian Abdul Hanan,Independent,1808,6
NA-170,Muhammad Tariq Javed,JIP,1738,7
NA-170,Muhammad Yousaf Sial,Independent,994,8
NA-170,Muhammad Nadeem Tabasum,PMML,793,9
NA-170,Muhammad Majeed,PSDP,686,10
NA-170,Ammad Ud Din,Independent,610,11
NA-170,Raja Muhammad Saleem,Independent,440,12
NA-170,Sabir Ali,Independent,254,13
NA-170,Hussain Majid,Independent,247,14
NA-170,Fayyaz Ahmad,Independent,158,15
