na,candidate_name,party,votes,rank
NA-236,Hassan Shabbir,MQM-P,38871,1
NA-236,Muhammad Muzammil Qureshi,PPP,32231,2
NA-236,Muhammad Usama Razi Khan,JIP,21082,3
NA-236,Sabeen Malik,PDQM,5765,4
NA-236,Manzoor Hussain,Independent,5132,5
NA-236,Sadia Qaisar,Independent,4060,6
NA-236,Noor Uddin,Independent,3479,7
NA-236,Mitha Khan,Independent,2254,8
NA-236,Muhammad Luqman,TLP,2107,9
NA-236,Muhammad Asghar,Independent,1705,10
NA-236,Perveen Bashir,PML-N,1574,11
NA-236,Osama Bin Iqbal,Independent,1542,12
NA-236,Muhammad Owais Rabbani,Independent,1449,13
NA-236,Babar Siraj Mirza,MQM-H,1273,14
NA-236,Muhammad Ashraf Jabbar,Independent,1225,15
NA-236,Khalid,Independent,1188,16
NA-236,Muhammad Alamgeer Khan,Independent,1154,17
NA-236,Shafaq Naseem,Independent,1062,18
NA-236,Khurshid Hassan Khan Afridi,Independent,947,19
NA-236,Syed Firdous Shameem Naqvi,Independent,754,20
NA-236,Syed Mushtaq Hussain,GDA,683,21
NA-236,Daud Ahmad Fakhri,PCP,628,22
NA-236,Jamil Ahmed,Independent,611,23
NA-236,Shakeel Ahmad,PRP,609,24
NA-236,Imran Ali,PMML,544,25
NA-236,Syed Muhammad Umar Feroz,Independent,491,26
NA-236,Faysal Mujeeb,Independent,454,27
NA-236,Shaikh Khalid Sultan,Independent,426,28
NA-236,Abdul Rasheed,Independent,422,29
NA-236,Majid Maqsood,Independent,408,30
NA-236,Syed Azhar Fakhar Uddin,Independent,375,31
NA-236,Imran Saif Khan Ghauri,Independent,333,32
NA-236,Abdul Qadir Khanzada,Independent,326,33
NA-236,Fizza Zishan,Independent,0,34
