na,candidate_name,party,votes,rank
NA-201,Syed Khursheed Ahmed Shah,PPP,121556,1
NA-201,Maulana Muhammad Saleh Indhar,JUI-F,53625,2
NA-201,Syed Hamid Mehmood Faizi,TLP,2843,3
NA-201,Sultan Ahmad,JIP,1172,4
NA-201,Saba Anwar,MQM,656,5
NA-201,Inayatullah,Independent,539,6
NA-201,Syed Tahir Hussain Shah,Independent,476,7
NA-201,Ghulam Nabi,PRP,359,8
NA-201,Badaruddin Samejo,Independent,191,9
NA-201,Syed Zeerak Shah,Independent,182,10
NA-201,Syed Shakir Hussain Shah,Independent,159,11
NA-201,Shah Jahan Mangrio,Independent,137,12
