na,candidate_name,party,votes,rank
NA-188,Hafeez Ur Rehman Khan Dreshak,PML-N,85979,1
NA-188,Sardar Ahmad Ali Khan Dreshak,Independent,70262,2
NA-188,Liaqat Ali Gorpang,PPP,13579,3
NA-188,Muhammad Irfan ullah,JIP,6754,4
NA-188,Sohail Anwar,TLP,3452,5
NA-188,Sardar Muhammad Yousaf Dreshak,Independent,495,6
NA-188,Shoukat Mehmood,Independent,421,7
NA-188,Sardar Aziz ur Rehman Dareshak,Independent,376,8
NA-188,Atif Ali Khan Dareshak,Independent,268,9
NA-188,Sardar Muhammad Awais Dreshak,Independent,224,10
