na,candidate_name,party,votes,rank
NA-12,Malak Muhammad Idress,Independent,28010,1
NA-12,Salah Uddin Khan,JUI-F,23014,2
NA-12,Mehboob Ullah Jan,PPP,21061,3
NA-12,Molvi Karim Dad,Independent,15493,4
NA-12,Malik Qadam Khan,Independent,6089,5
NA-12,Habib Ullah,Independent,3747,6
NA-12,Taj Muhammad,Independent,2283,7
NA-12,Talib Jan,JIP,805,8
NA-12,Muhammad Zaboor,Independent,209,9
NA-12,Taj Mal,Independent,185,10
NA-12,Daud Khan,Independent,111,11
NA-12,Hijab Khan,Independent,93,12
NA-12,Muhammad Naseem,Independent,44,13
NA-12,Yahya Khan,Independent,15,14
